time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.65115262946e-07,-9.07825202058e-08,10.0046614196,6.28291545748,0.000559881526969,0.0,-6.13955697519e-05,-1.569184794e-05,0.155371455396,-0.0154933375917,0.0234226260123,0.0,453.919622469637,455.79497880004635,454.02048972139323,452.7760320487939
0.12000000000000001,-2.07429264326e-05,-9.70256554504e-06,10.0159856599,6.28158701481,0.00214987561712,0.0,-0.000750521336019,-0.000409143213249,0.222091818506,-0.0407486212661,0.0320354476429,0.0,425.6602944156111,426.39677107503934,427.5380520495988,425.3810596167199
0.18,-0.000119633519956,-7.83513051466e-05,10.0331092557,6.27889822027,0.00417468812761,0.0,-0.00275505222989,-0.00214935794994,0.348662626542,-0.054520056621,0.0369664260223,0.0,445.7546736614107,446.1578337872064,445.2488714206151,444.1197539326853
0.23999999999999996,-0.000402975265668,-0.000333252208609,10.06213244,6.27572302792,0.00609066854282,0.0,-0.00695540016609,-0.00675651984471,0.618666261825,-0.0498986353318,0.0192537925218,0.0,489.15953679677307,487.83920266295996,487.40964179239586,487.75327907154406
0.3,-0.000958653958618,-0.000914216413086,10.1035078716,6.2728371393,0.00743324150167,0.0,-0.0117025053329,-0.0129260981117,0.760427094614,-0.0447216633929,0.0279851496193,0.0,449.7490901784118,450.45563650624905,450.45783478389154,450.87483615204513
0.36000000000000004,-0.00181014894089,-0.00189854885996,10.1507650014,6.27055904183,0.00903075444827,0.0,-0.0168365715868,-0.0201183713181,0.814769098004,-0.0270631131152,0.0237567714097,0.0,423.61883098053653,423.25532125306574,421.38170072255065,422.9043940442544
0.4200000000000001,-0.00304713939232,-0.00341998162842,10.2063273092,6.26915236091,0.010882971793,0.0,-0.0245951097567,-0.0307747921566,1.03712812036,-0.0170449500267,0.0422463590123,0.0,474.9390690652943,476.3551233230048,473.6973555598097,474.4669804501864
0.48000000000000015,-0.00476505296515,-0.00557008873398,10.2722368837,6.26797857871,0.0132399423729,0.0,-0.0329258842857,-0.0410089088926,1.15973603659,-0.0251455965732,0.0325785751246,0.0,444.93908013293907,444.1477407075213,446.0781656117621,445.41628274859784
0.5400000000000001,-0.00707591755361,-0.00841158874343,10.3488173295,6.26705046426,0.015023647615,0.0,-0.0443278453328,-0.0538461843902,1.39268530817,-0.000981342298101,0.0233138379925,0.0,479.77642152651794,479.07276590797494,476.8708744927419,478.713002648719
0.6000000000000002,-0.0101423178622,-0.0120682404037,10.4412326553,6.26812339857,0.0172261361461,0.0,-0.0581261781308,-0.067950586262,1.68743530507,0.0409541078513,0.0550822226444,0.0,495.7107510156812,498.0399191369986,495.1302654820847,498.205588072227
0.6600000000000003,-0.0140172267514,-0.0164620462907,10.5465063376,6.27014059314,0.0208718477963,0.0,-0.0714078852271,-0.0782598002981,1.82147943872,0.0119398979743,0.0702096733093,0.0,449.62719708523827,450.8535182160754,451.7320762088183,449.38691220533644
0.7200000000000003,-0.0186518185293,-0.0213661369256,10.654270098,6.27074351116,0.025735845552,0.0,-0.0834467172002,-0.0851582078621,1.7707179941,0.00596902683358,0.0968536595112,0.0,387.67875608627116,390.18012901124507,390.6589951243067,390.10177134639747
0.7800000000000004,-0.0242458831849,-0.0267468848111,10.7647526647,6.27097161663,0.0313977726282,0.0,-0.103636656584,-0.0941651353656,1.91179071846,-0.000929659260723,0.0888606026651,0.0,454.05788596190337,453.42356970479347,452.29735228725394,451.7413815047129
0.8400000000000004,-0.0311968646077,-0.03267353442,10.8844195477,6.27086183132,0.0364060503645,0.0,-0.12863405841,-0.103395478103,2.07679888051,-0.00369375976855,0.0696139445994,0.0,462.5248536279318,461.01194352652067,459.7310896624839,459.5120769602141
0.9000000000000005,-0.0397714674398,-0.0391599590082,11.0143662894,6.27175249718,0.0412458373712,0.0,-0.157692278287,-0.11276046507,2.25440432085,0.0376657640267,0.0966564159776,0.0,464.05607001210456,466.17854651652044,463.5196779587438,466.7585152420136
0.9600000000000005,-0.0501856582102,-0.0461737646598,11.1544671505,6.27389970686,0.04682206806,0.0,-0.190066507322,-0.120784674447,2.41527038712,0.0317369111556,0.0842148090088,0.0,462.0210681980083,461.0460319369851,460.38259146924986,459.9137815411195
1.0200000000000005,-0.0625656080885,-0.0536036824413,11.3021412509,6.27573399897,0.0517052618973,0.0,-0.223090699631,-0.126689200709,2.50697611929,0.0281329802301,0.0750311041928,0.0,440.63078597405445,439.87633908280264,440.2748189879791,439.9768686490289
1.0800000000000005,-0.0770103666954,-0.0613489199911,11.4550398874,6.27776312752,0.0559963948393,0.0,-0.25883024146,-0.131297669521,2.58943484985,0.0432771830795,0.0633643920192,0.0,437.87890236956594,436.91128813355016,437.4445636935599,438.70427864717897
1.1400000000000006,-0.0938363529449,-0.0693396072579,11.6155659211,6.2807617172,0.0601488945031,0.0,-0.302464001964,-0.134739203527,2.76100374876,0.0608095786538,0.0788837748422,0.0,465.20161593274895,466.418548866434,464.9250780454712,466.298082381147
1.2000000000000006,-0.113276445288,-0.0774615034413,11.784702882,0.000783678084737,0.0649989130872,0.0,-0.346022490838,-0.135625858423,2.87657334287,0.0316803412798,0.084470912303,0.0,449.82667073967923,450.2840546064133,450.189360397522,447.82790885959446
1.2600000000000007,-0.135287656172,-0.085578412607,11.9585481285,0.00260392421291,0.0702632995661,0.0,-0.388161446289,-0.13476442683,2.91812153985,0.0275069831509,0.0935816015103,0.0,426.17150829164643,426.9562380654147,426.8722235521582,426.51628202398194
